,journal,issn,access,notes,university
74,ANIMAL FEED SCIENCE AND TECHNOLOGY,0377-8401,1,,ualberta
75,ANIMAL GENETICS,0268-9146,1,,ualberta
76,ANIMAL PRODUCTION SCIENCE,1836-0939,1,,ualberta
77,ANIMAL REPRODUCTION SCIENCE,0378-4320,1,,ualberta
78,ANIMAL RESEARCH,1627-3583,1,,ualberta
79,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0003-4088,1,,ualberta
80,ANNALES ZOOLOGICI FENNICI,0003-455X,1,,ualberta
81,ANNALI DI BOTANICA,0365-0812,1,,ualberta
82,ANNALS OF APPLIED BIOLOGY,0003-4746,1,,ualberta
83,ANNALS OF APPLIED STATISTICS,1932-6157,1,,ualberta
84,ANNALS OF BOTANY,0305-7364,1,,ualberta
85,ANNALS OF FOREST RESEARCH,1844-8135,1,,ualberta
86,ANNALS OF FOREST SCIENCE,1286-4560,1,,ualberta
87,ANNALS OF OPERATIONS RESEARCH,0254-5330,1,,ualberta
88,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,2469-4452,1,,ualberta
89,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,0004-5608,1,,ualberta
90,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,0013-8746,1,,ualberta
91,ANNALS OF THE MISSOURI BOTANICAL GARDEN,0026-6493,1,,ualberta
92,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,1,,ualberta
93,"ANNUAL REVIEW OF ANIMAL BIOSCIENCES, VOL 2",2165-8102,1,,ualberta
94,"ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES, VOL 43",0084-6597,1,,ualberta
95,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,0066-4162,1,,ualberta
96,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,1543-592X,1,,ualberta
97,ANNUAL REVIEW OF ENERGY AND THE ENVIRONMENT,1056-3466,1,,ualberta
98,ANNUAL REVIEW OF ENTOMOLOGY,0066-4170,1,,ualberta
99,ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,1543-5938,1,,ualberta
100,ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,1527-8204,1,,ualberta
101,ANNUAL REVIEW OF MARINE SCIENCE,1941-1405,1,,ualberta
102,ANNUAL REVIEW OF PHYTOPATHOLOGY,0066-4286,1,,ualberta
103,"ANNUAL REVIEW OF RESOURCE ECONOMICS, VOL 2, 2010",1941-1340,1,,ualberta
104,ANTARCTIC SCIENCE,0954-1020,1,,ualberta
105,ANTHROPOCENE,2213-3054,1,,ualberta
106,ANTIPODE,0066-4812,1,,ualberta
107,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,0003-6072,1,,ualberta
108,AOB PLANTS,2041-2851,1,,ualberta
109,APIDOLOGIE,0044-8435,1,,ualberta
110,APPLICATIONS IN PLANT SCIENCES,2168-0450,1,,ualberta
111,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,0099-2240,1,,ualberta
112,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1,,ualberta
113,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,1,,ualberta
114,APPLIED ENERGY,0306-2619,1,,ualberta
115,APPLIED ENGINEERING IN AGRICULTURE,0883-8542,1,,ualberta
116,APPLIED ENTOMOLOGY AND ZOOLOGY,0003-6862,1,,ualberta
117,APPLIED GEOGRAPHY,0143-6228,1,,ualberta
118,APPLIED GEOMATICS,1866-9298,1,,ualberta
119,APPLIED MATHEMATICAL MODELLING,0307-904X,1,,ualberta
120,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,0175-7598,1,,ualberta
121,APPLIED SOIL ECOLOGY,0929-1393,1,,ualberta
122,APPLIED SPATIAL ANALYSIS AND POLICY,1874-463X,1,,ualberta
123,APPLIED VEGETATION SCIENCE,1402-2001,1,,ualberta
124,AQUACULTURAL ENGINEERING,0144-8609,1,,ualberta
125,AQUACULTURE,0044-8486,1,,ualberta
126,AQUACULTURE ENVIRONMENT INTERACTIONS,1869-215X,1,,ualberta
127,AQUACULTURE INTERNATIONAL,0967-6120,1,,ualberta
128,AQUACULTURE RESEARCH,1355-557X,1,,ualberta
129,AQUATIC BIOLOGY,1864-7790,1,,ualberta
130,AQUATIC BOTANY,0304-3770,1,,ualberta
131,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,1052-7613,1,,ualberta
132,AQUATIC ECOLOGY,1386-2588,1,,ualberta
133,AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,1463-4988,1,,ualberta
134,AQUATIC INVASIONS,1798-6540,1,,ualberta
135,AQUATIC LIVING RESOURCES,0990-7440,1,,ualberta
136,AQUATIC SCIENCES,1015-1621,1,,ualberta
137,AQUATIC TOXICOLOGY,0166-445X,1,,ualberta
138,ARABIAN JOURNAL OF GEOSCIENCES,1866-7511,1,,ualberta
139,ARCHIV FUR HYDROBIOLOGIE,0003-9136,0,,ualberta
140,ARCHIVES OF BIOLOGICAL SCIENCES,0354-4664,1,,ualberta
141,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,0090-4341,1,,ualberta
142,ARCTIC,0004-0843,1,,ualberta
143,ARCTIC ANTHROPOLOGY,0066-6939,1,,ualberta
144,ARDEA,0373-2266,1,,ualberta
145,ARDEOLA-INTERNATIONAL JOURNAL OF ORNITHOLOGY,0570-7358,1,,ualberta
146,AREA,0004-0894,1,,ualberta
147,ARID ECOSYSTEMS,2079-0961,1,,ualberta
148,ARID LAND RESEARCH AND MANAGEMENT,1532-4982,1,,ualberta
149,ARTHROPOD-PLANT INTERACTIONS,1872-8855,1,,ualberta
150,ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,1010-5395,1,,ualberta
151,ASIA LIFE SCIENCES,0117-3375,1,,ualberta
152,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,1011-2367,1,,ualberta
153,ASIAN JOURNAL OF CHEMISTRY,0970-7077,0,,ualberta
154,ASIAN JOURNAL OF WATER ENVIRONMENT AND POLLUTION,0972-9860,0,,ualberta
155,ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,1995-7645,1,,ualberta
156,ATMOSPHERIC ENVIRONMENT,1352-2310,1,,ualberta
157,ATMOSPHERIC RESEARCH,0169-8095,1,,ualberta
158,AUK,0004-8038,1,,ualberta
159,AUSTRAL ECOLOGY,1442-9985,1,,ualberta
160,AUSTRAL ENTOMOLOGY,2052-1758,1,,ualberta
161,AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,1448-6563,1,,ualberta
162,AUSTRALASIAN PLANT PATHOLOGY,0815-3191,1,,ualberta
163,AUSTRALIAN FORESTRY,0004-9158,0,,ualberta
164,AUSTRALIAN GEOGRAPHER,0004-9182,1,,ualberta
165,AUSTRALIAN JOURNAL OF BOTANY,0067-1924,1,,ualberta
166,AUSTRALIAN JOURNAL OF EARTH SCIENCES,0812-0099,1,,ualberta
167,AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE,0816-1089,1,,ualberta
168,AUSTRALIAN JOURNAL OF ZOOLOGY,0004-959X,1,,ualberta
169,AUSTRALIAN LAW JOURNAL,0004-9611,0,,ualberta
170,AUSTRALIAN MAMMALOGY,0310-0049,1,,ualberta
171,AUSTRALIAN SYSTEMATIC BOTANY,1030-1887,1,,ualberta
172,AUSTRIAN JOURNAL OF FOREST SCIENCE,0379-5292,1,,ualberta
173,AUTOMATICA,0005-1098,1,,ualberta
174,AVIAN BIOLOGY RESEARCH,1758-1559,1,,ualberta
175,AVIAN CONSERVATION AND ECOLOGY,1712-6568,1,,ualberta
176,AVIAN RESEARCH,2053-7166,1,,ualberta
177,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,1935-1682,1,,ualberta
178,BALTIC FORESTRY,1392-1355,1,,ualberta
179,BALTIC JOURNAL OF ECONOMIC STUDIES,2256-0742,1,,ualberta
180,BASIC AND APPLIED ECOLOGY,1439-1791,1,,ualberta
181,BEHAVIORAL ECOLOGY,1045-2249,1,,ualberta
182,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1,,ualberta
183,BEHAVIOUR,0005-7959,1,,ualberta
184,BEHAVIOURAL PROCESSES,0376-6357,1,,ualberta
185,BELGIAN JOURNAL OF BOTANY,0778-4031,1,,ualberta
186,BELGIAN JOURNAL OF ZOOLOGY,0777-6276,1,,ualberta
187,BERICHTE UBER LANDWIRTSCHAFT,2196-5099,1,,ualberta
188,BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,0005-9366,1,,ualberta
189,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,1,,ualberta
190,BIOCHEMICAL GENETICS,0006-2928,1,,ualberta
191,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978,1,,ualberta
192,BIOCONTROL,1386-6141,1,,ualberta
193,BIOCONTROL SCIENCE AND TECHNOLOGY,0958-3157,1,,ualberta
194,BIODIVERSITY AND CONSERVATION,0960-3115,1,,ualberta
195,BIOENERGY RESEARCH,1939-1234,1,,ualberta
196,BIOETHICS,0269-9702,1,,ualberta
197,BIOFOULING,0892-7014,1,,ualberta
198,BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,1932-104X,1,,ualberta
199,BIOGEOCHEMISTRY,0168-2563,1,,ualberta
200,BIOLOGIA,0006-3088,1,,ualberta
201,BIOLOGICAL AGRICULTURE & HORTICULTURE,0144-8765,0,,ualberta
202,BIOLOGICAL BULLETIN,0006-3185,1,,ualberta
203,BIOLOGICAL CONSERVATION,0006-3207,1,,ualberta
204,BIOLOGICAL CONTROL,1049-9644,1,,ualberta
205,BIOLOGICAL INVASIONS,1387-3547,1,,ualberta
206,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4066,1,,ualberta
207,BIOLOGICAL REVIEWS,1464-7931,1,,ualberta
208,BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,0791-7945,1,,ualberta
209,BIOLOGY LETTERS,1744-9561,1,,ualberta
210,BIOMASS & BIOENERGY,0961-9534,1,,ualberta
211,BIOMETRICS,0006-341X,1,,ualberta
212,BIOSCIENCE,0006-3568,1,,ualberta
213,BIOSYSTEMS DIVERSITY,2310-0842,1,,ualberta
214,BIOTA NEOTROPICA,1676-0603,1,,ualberta
215,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,1310-2818,1,,ualberta
216,BIOTECHNOLOGY ADVANCES,0734-9750,1,,ualberta
217,BIOTROPICA,0006-3606,1,,ualberta
218,BIRD CONSERVATION INTERNATIONAL,0959-2709,1,,ualberta
219,BIRD STUDY,0006-3657,1,,ualberta
220,BOIS ET FORETS DES TROPIQUES,0006-579X,0,,ualberta
221,BOREAL ENVIRONMENT RESEARCH,1239-6095,1,,ualberta
222,BOSQUE,0717-9200,1,,ualberta
223,BOSTON UNIVERSITY LAW REVIEW,0006-8047,1,,ualberta
224,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1,,ualberta
225,BOTANICAL REVIEW,0006-8101,1,,ualberta
226,BOTANY,1916-2790,1,,ualberta
227,BOTANY LETTERS,2381-8107,0,,ualberta
228,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1516-8913,1,,ualberta
229,BRAZILIAN JOURNAL OF BIOLOGY,1519-6984,1,,ualberta
230,BRAZILIAN JOURNAL OF BOTANY,0100-8404,1,,ualberta
231,BRAZILIAN JOURNAL OF OCEANOGRAPHY,1679-8759,1,,ualberta
232,BRITISH FOOD JOURNAL,0007-070X,1,,ualberta
233,BUILDING AND ENVIRONMENT,0360-1323,1,,ualberta
234,BUILDING RESEARCH AND INFORMATION,0961-3218,1,,ualberta
235,BULGARIAN CHEMICAL COMMUNICATIONS,0324-1130,0,,ualberta
236,BULGARIAN JOURNAL OF AGRICULTURAL SCIENCE,1310-0351,1,,ualberta
237,BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE,0767-2861,0,,ualberta
238,BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,1,,ualberta
239,BULLETIN OF MARINE SCIENCE,0007-4977,1,,ualberta
240,BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,1,,ualberta
241,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,1,,ualberta
242,BULLETIN OF THE NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF KAZAKHSTAN,1991-3494,0,,ualberta
243,BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,0079-032X,1,,ualberta
244,BUSINESS & SOCIETY,0007-6503,1,,ualberta
245,BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,1,,ualberta
246,CAHIERS DE BIOLOGIE MARINE,0007-9723,0,,ualberta
247,CANADIAN ENTOMOLOGIST,0008-347X,1,,ualberta
248,CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,0008-3658,1,,ualberta
249,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976,1,,ualberta
250,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,0008-4026,1,,ualberta
251,CANADIAN JOURNAL OF DEVELOPMENT STUDIES-REVUE CANADIENNE D ETUDES DU DEVELOPPEMENT,0225-5189,0,,ualberta
252,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1,,ualberta
253,CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,1,,ualberta
254,CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1,,ualberta
255,CANADIAN JOURNAL OF REMOTE SENSING,0703-8992,0,,ualberta
256,CANADIAN JOURNAL OF SOIL SCIENCE,0008-4271,1,,ualberta
257,CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1,,ualberta
258,CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,0317-0861,1,,ualberta
259,CANADIAN WATER RESOURCES JOURNAL,0701-1784,1,,ualberta
260,CANDOLLEA,0373-2967,1,,ualberta
261,CARBON MANAGEMENT,1758-3004,1,,ualberta
262,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,1842-4090,0,,ualberta
263,CASTANEA,0008-7475,1,,ualberta
264,CATENA,0341-8162,1,,ualberta
265,CCAMLR SCIENCE,1023-4063,1,,ualberta
266,CENTRAL EUROPEAN FORESTRY JOURNAL,2454-034X,0,,ualberta
267,CENTRAL EUROPEAN JOURNAL OF BIOLOGY,1895-104X,1,,ualberta
268,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,1435-246X,1,,ualberta
269,CEREAL RESEARCH COMMUNICATIONS,0133-3720,1,,ualberta
270,CHAOS SOLITONS & FRACTALS,0960-0779,1,,ualberta
271,CHELONIAN CONSERVATION AND BIOLOGY,1071-8443,1,,ualberta
272,CHEMISTRY AND ECOLOGY,0275-7540,1,,ualberta
273,CHEMOECOLOGY,0937-7409,1,,ualberta
274,CHEMOSPHERE,0045-6535,1,,ualberta
275,CHIANG MAI JOURNAL OF SCIENCE,0125-2526,0,,ualberta
276,CHINA ECONOMIC REVIEW,1043-951X,1,,ualberta
277,CHINA OCEAN ENGINEERING,0890-5487,0,,ualberta
278,CHINESE GEOGRAPHICAL SCIENCE,1002-0063,1,,ualberta
279,CHINESE JOURNAL OF INTERNATIONAL LAW,1540-1650,1,,ualberta
280,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,0254-4059,1,,ualberta
281,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,1004-2857,0,,ualberta
282,CHINESE SCIENCE BULLETIN,1001-6538,1,,ualberta
283,CHUNGARA-REVISTA DE ANTROPOLOGIA CHILENA,0716-1182,1,,ualberta
284,CIENCIA & SAUDE COLETIVA,1413-8123,1,,ualberta
285,CIENCIAS MARINAS,0185-3880,1,,ualberta
286,CITIES,0264-2751,1,,ualberta
287,CIVIL AND ENVIRONMENTAL ENGINEERING REPORTS,2080-5187,1,,ualberta
288,CLEAN-SOIL AIR WATER,1863-0650,1,,ualberta
289,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,1618-954X,1,,ualberta
290,CLIMATE AND DEVELOPMENT,1756-5529,0,,ualberta
291,CLIMATE DYNAMICS,0930-7575,1,,ualberta
292,CLIMATE POLICY,1469-3062,1,,ualberta
293,CLIMATE RESEARCH,0936-577X,1,,ualberta
294,CLIMATE RISK MANAGEMENT,2212-0963,1,,ualberta
295,CLIMATIC CHANGE,0165-0009,1,,ualberta
296,COASTAL MANAGEMENT,0892-0753,1,,ualberta
297,COLD REGIONS SCIENCE AND TECHNOLOGY,0165-232X,1,,ualberta
298,COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,0250-0167,0,,ualberta
299,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,1007-5704,1,,ualberta
300,COMMUNITY ECOLOGY,1585-8553,1,,ualberta
301,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,1,,ualberta
302,COMPARATIVE COGNITION & BEHAVIOR REVIEWS,1911-4745,1,,ualberta
303,COMPARATIVE POLITICS,0010-4159,1,,ualberta
304,COMPTES RENDUS BIOLOGIES,1631-0691,1,,ualberta
305,COMPTES RENDUS GEOSCIENCE,1631-0713,1,,ualberta
306,COMPUTATIONAL & APPLIED MATHEMATICS,0101-8205,0,,ualberta
307,COMPUTER JOURNAL,0010-4620,1,,ualberta
308,COMPUTERS & GEOSCIENCES,0098-3004,1,,ualberta
309,COMPUTERS AND ELECTRONICS IN AGRICULTURE,0168-1699,1,,ualberta
310,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,0198-9715,1,,ualberta
311,CONDOR,0010-5422,1,,ualberta
312,CONFIGURATIONS,1063-1801,1,,ualberta
313,CONSERVATION & SOCIETY,0972-4923,1,,ualberta
314,CONSERVATION BIOLOGY,0888-8892,1,,ualberta
315,CONSERVATION ECOLOGY,1195-5449,1,,ualberta
316,CONSERVATION GENETICS,1566-0621,1,,ualberta
317,CONSERVATION GENETICS RESOURCES,1877-7252,1,,ualberta
318,CONSERVATION LETTERS,1755-263X,1,,ualberta
319,CONSERVATION PHYSIOLOGY,2051-1434,1,,ualberta
320,CONTEMPORARY PROBLEMS OF ECOLOGY,1995-4255,1,,ualberta
321,CONTEMPORARY TRENDS IN GEOSCIENCE,2084-5707,1,,ualberta
322,CONTINENTAL SHELF RESEARCH,0278-4343,1,,ualberta
323,COPEIA,0045-8511,1,,ualberta
324,CORAL REEFS,0722-4028,1,,ualberta
325,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1,,ualberta
326,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1064-3389,1,,ualberta
327,CRITICAL REVIEWS IN PLANT SCIENCES,0735-2689,1,,ualberta
328,CRITICAL REVIEWS IN TOXICOLOGY,1040-8444,1,,ualberta
329,CROP & PASTURE SCIENCE,1836-0947,1,,ualberta
330,CROP PROTECTION,0261-2194,1,,ualberta
331,CROP SCIENCE,0011-183X,1,,ualberta
332,CROSS-CULTURAL RESEARCH,1069-3971,1,,ualberta
333,CRUSTACEANA,0011-216X,1,,ualberta
334,CRYPTOGAMIE BRYOLOGIE,1290-0796,1,,ualberta
335,CRYPTOGAMIE MYCOLOGIE,0181-1584,1,,ualberta
336,CUADERNOS DE BIOETICA,1132-1989,1,,ualberta
337,CUADERNOS DE INVESTIGACION GEOGRAFICA,0211-6820,1,,ualberta
338,CUBAN JOURNAL OF AGRICULTURAL SCIENCE,0864-0408,1,,ualberta
339,CULTURAL ANTHROPOLOGY,0886-7356,1,,ualberta
340,CURRENT ANTHROPOLOGY,0011-3204,1,,ualberta
341,CURRENT BIOLOGY,0960-9822,1,,ualberta
342,CURRENT FORESTRY REPORTS,2198-6436,1,,ualberta
343,CURRENT ISSUES IN TOURISM,1368-3500,1,,ualberta
344,CURRENT OPINION IN BEHAVIORAL SCIENCES,2352-1546,1,,ualberta
345,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,1877-3435,1,,ualberta
346,CURRENT OPINION IN INSECT SCIENCE,2214-5745,1,,ualberta
347,CURRENT OPINION IN MICROBIOLOGY,1369-5274,1,,ualberta
348,CURRENT SCIENCE,0011-3891,1,,ualberta
349,CURRENT SOCIOLOGY,0011-3921,1,,ualberta
350,CURRENT ZOOLOGY,1674-5507,1,,ualberta
351,CUSTOS E AGRONEGOCIO ON LINE,1808-2882,1,,ualberta
352,DATA IN BRIEF,2352-3409,1,,ualberta
353,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0967-0637,1,,ualberta
354,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0967-0645,1,,ualberta
355,DENDROBIOLOGY,1641-1307,1,,ualberta
356,DESALINATION,0011-9164,1,,ualberta
357,DESALINATION AND WATER TREATMENT,1944-3994,0,,ualberta
358,DESENVOLVIMENTO E MEIO AMBIENTE,1518-952X,1,,ualberta
359,DEVELOPMENT AND CHANGE,0012-155X,1,,ualberta
360,DEVELOPMENT POLICY REVIEW,0950-6764,1,,ualberta
361,DEVELOPMENT SOUTHERN AFRICA,0376-835X,1,,ualberta
362,DIATOM RESEARCH,0269-249X,1,,ualberta
363,DIFFERENTIAL EQUATIONS AND DYNAMICAL SYSTEMS,0971-3514,1,,ualberta
364,DISASTER ADVANCES,0974-262X,0,,ualberta
365,DISASTER PREVENTION AND MANAGEMENT,0965-3562,1,,ualberta
366,DISASTERS,0361-3666,1,,ualberta
367,DISEASES OF AQUATIC ORGANISMS,0177-5103,1,,ualberta
368,DIVERSITY AND DISTRIBUTIONS,1366-9516,1,,ualberta
369,EARTH-SCIENCE REVIEWS,0012-8252,1,,ualberta
